ticketId,customerId,customerName,customerSegment,plan,channel,subject,bodyPreview,createdAt,lastReplyAt,lastReplyBy,replyCount,status,priority,assignedTo,category,previousOpenTicketsForCustomer
TKT-300050,ACCT-02587,Indústria Almeida Ltda,MID,GROWTH,EMAIL,Dashboard não carrega após login,A página principal fica em loading infinito desde a manhã de hoje.,2026-01-01T03:27:47,2026-01-12T07:32:11,CUSTOMER,2,RESOLVED,MEDIUM,Henrique Faria,,0
TKT-302373,ACCT-02213,Varejo Costa S.A.,SMB,STARTER,EMAIL,Como exporto os dados do mês?,Preciso passar pra contabilidade — qual menu é?,2026-01-01T03:46:59,2026-01-06T08:07:07,AGENT,8,WAITING_CUSTOMER,MEDIUM,Isadora Pinto,,0
TKT-306320,ACCT-02093,Engenharia Ribeiro S.A.,SMB,FREE,CHAT,Como exporto os dados do mês?,Preciso passar pra contabilidade — qual menu é?,2026-01-01T03:59:31,2026-01-10T20:01:36,AGENT,2,RESOLVED,URGENT,Bruno Lima,,0
TKT-304590,ACCT-02179,Distribuidora Pereira,SMB,STARTER,CHAT,Como exporto os dados do mês?,Preciso passar pra contabilidade — qual menu é?,2026-01-01T04:28:45,2026-01-01T20:11:21,CUSTOMER,2,RESOLVED,LOW,Bruno Lima,,0
TKT-303873,ACCT-02316,Transportes Lima S.A.,SMB,STARTER,EMAIL,Erro 500 ao salvar relatório,Quando clico em 'Exportar' o sistema retorna 500. Tentei em três navegadores diferentes.,2026-01-01T04:40:08,2026-01-07T23:44:10,AGENT,8,RESOLVED,URGENT,Henrique Faria,BUG,0
TKT-301812,ACCT-02581,Alimentos Lima S.A.,MID,GROWTH,EMAIL,Webhook deixou de disparar,Nossa integração não recebe nenhum evento desde sexta. Os logs mostram zero requisições.,2026-01-01T05:16:56,2026-01-07T17:12:14,CUSTOMER,3,WAITING_CUSTOMER,LOW,Carla Mendes,,0
TKT-307046,ACCT-02654,Indústria Souza ME,SMB,GROWTH,WHATSAPP,Tem como mudar a moeda padrão?,Trabalhamos com USD em alguns clientes.,2026-01-01T05:30:18,2026-01-08T05:32:48,AGENT,2,RESOLVED,MEDIUM,Ana Souza,,0
TKT-301229,ACCT-02319,Tecnologia Pereira ME,SMB,STARTER,EMAIL,Webhook deixou de disparar,Nossa integração não recebe nenhum evento desde sexta. Os logs mostram zero requisições.,2026-01-01T05:48:45,2026-01-15T04:44:15,CUSTOMER,3,CLOSED,HIGH,Carla Mendes,,0
TKT-305701,ACCT-02017,Distribuidora Costa S.A.,SMB,STARTER,CHAT,Pode adicionar SSO via Google Workspace?,"Nosso time tem 30 pessoas, gerenciar senha individual é dor.",2026-01-01T05:48:48,2026-01-09T04:51:01,AGENT,3,CLOSED,URGENT,Bruno Lima,FEATURE_REQUEST,0
TKT-302117,ACCT-02550,Atacadista Lima ME,MID,GROWTH,CHAT,Feedback geral sobre o produto,"Só queria mandar um obrigado, time. UX melhorou bastante esse ano.",2026-01-01T06:11:51,2026-01-13T20:07:52,AGENT,6,RESOLVED,HIGH,Carla Mendes,OTHER,0
TKT-305166,ACCT-02461,Varejo Rodrigues ME,ENT,ENTERPRISE,EMAIL,Bug no filtro de data,"Quando seleciono o último trimestre, ele puxa dados de 2024 também.",2026-01-01T06:14:30,2026-01-02T19:05:23,CUSTOMER,5,CLOSED,HIGH,Karina Melo,,0
TKT-301714,ACCT-02478,Têxtil Pereira do Brasil,SMB,FREE,WHATSAPP,Como configuro alertas por email?,Quero receber um email quando o saldo cair abaixo de R$1.000.,2026-01-01T07:24:10,2026-01-05T15:52:47,AGENT,5,CLOSED,MEDIUM,Felipe Nunes,HOW_TO,0
TKT-305770,ACCT-02465,Engenharia Lima do Brasil,SMB,FREE,WHATSAPP,Parceria comercial,Trabalhamos com um produto complementar — quem fala sobre integração de marketing?,2026-01-01T07:36:12,2026-01-01T09:23:58,AGENT,2,CLOSED,MEDIUM,Bruno Lima,,0
TKT-300814,ACCT-02584,Serviços Santos,SMB,GROWTH,CHAT,Dúvida sobre upgrade de plano,"Se eu mudar pra GROWTH agora, a cobrança é proporcional ou já vem cheia?",2026-01-01T07:39:35,2026-01-14T01:05:20,AGENT,1,IN_PROGRESS,MEDIUM,Erica Tavares,,0
TKT-305040,ACCT-02024,Tecnologia Andrade,SMB,FREE,CHAT,Erro 500 ao salvar relatório,Quando clico em 'Exportar' o sistema retorna 500. Várias pessoas do meu time relataram o mesmo agora há pouco.,2026-01-01T07:55:34,2026-01-03T05:36:40,AGENT,6,RESOLVED,URGENT,Karina Melo,BUG,0
TKT-304955,ACCT-02668,Comércio Oliveira do Brasil,MID,STARTER,CHAT,Como configuro alertas por email?,Quero receber um email quando o saldo cair abaixo de R$1.000.,2026-01-01T08:10:05,2026-01-05T08:50:18,AGENT,6,CLOSED,MEDIUM,Diego Cruz,,0
TKT-303896,ACCT-02290,Logística Costa Ltda,MID,GROWTH,EMAIL,Sugestão: exportar em XLSX,Hoje só temos CSV — seria muito útil ter XLSX com formatação.,2026-01-01T08:27:19,2026-01-10T03:13:46,AGENT,4,CLOSED,HIGH,Erica Tavares,FEATURE_REQUEST,0
TKT-304940,ACCT-02410,Indústria Rodrigues do Brasil,SMB,STARTER,EMAIL,Webhook deixou de disparar,Nossa integração não recebe nenhum evento desde sexta. Os logs mostram zero requisições.,2026-01-01T08:44:47,2026-01-06T10:37:03,CUSTOMER,1,RESOLVED,URGENT,Diego Cruz,,0
TKT-307918,ACCT-02336,Serviços Ferreira do Brasil,ENT,GROWTH,EMAIL,Bug no filtro de data,"Quando seleciono o último trimestre, ele puxa dados de 2024 também.",2026-01-01T08:57:06,2026-01-11T01:30:54,CUSTOMER,2,CLOSED,HIGH,Bruno Lima,BUG,0
TKT-303165,ACCT-02231,Soluções Pereira Ltda,SMB,FREE,EMAIL,Pix não foi reconhecido,Pago o boleto via Pix ontem mas a plataforma ainda mostra como em aberto. Comprovante anexo.,2026-01-01T08:58:32,2026-01-07T01:20:59,AGENT,4,RESOLVED,MEDIUM,Diego Cruz,,0
TKT-305946,ACCT-02466,Alimentos Fernandes,SMB,FREE,CHAT,Dúvida sobre upgrade de plano,"Se eu mudar pra GROWTH agora, a cobrança é proporcional ou já vem cheia?",2026-01-01T09:03:04,2026-01-13T03:19:49,AGENT,4,CLOSED,HIGH,Ana Souza,BILLING,0
TKT-303234,ACCT-02503,Tecnologia Ribeiro ME,SMB,FREE,EMAIL,Queremos fazer downgrade pro Free,O ROI não está justificando o GROWTH — pode rebaixar pro plano gratuito?,2026-01-01T09:07:12,2026-01-13T03:37:27,AGENT,2,RESOLVED,HIGH,Henrique Faria,,0
TKT-306690,ACCT-02065,Transportes Pereira do Brasil,SMB,FREE,EMAIL,Como integro com nosso ERP?,Usamos um ERP próprio. Vocês têm SDK ou só REST?,2026-01-01T09:25:25,2026-01-03T05:12:13,CUSTOMER,6,RESOLVED,MEDIUM,Bruno Lima,,0
TKT-307256,ACCT-02178,Logística Souza ME,SMB,FREE,EMAIL,Pode adicionar SSO via Google Workspace?,"Nosso time tem 30 pessoas, gerenciar senha individual é dor.",2026-01-01T10:13:16,2026-01-07T03:17:12,AGENT,4,CLOSED,MEDIUM,Ana Souza,,0
TKT-307531,ACCT-02099,Distribuidora Rodrigues S.A.,MID,GROWTH,CHAT,Como adiciono um novo usuário?,Sou admin e não acho onde convidar mais alguém.,2026-01-01T10:19:28,2026-01-08T08:19:49,AGENT,3,RESOLVED,LOW,Isadora Pinto,,0
TKT-300183,ACCT-02382,Serviços Costa S.A.,SMB,STARTER,CHAT,Tem como mudar a moeda padrão?,Trabalhamos com USD em alguns clientes.,2026-01-01T10:20:09,2026-01-02T04:06:16,AGENT,4,CLOSED,HIGH,Ana Souza,HOW_TO,0
TKT-302344,ACCT-02140,Transportes Santos S.A.,MID,STARTER,CHAT,App mobile crasha ao abrir notificação,Toda vez que clico numa push o app fecha sozinho. iOS 17.,2026-01-01T11:04:39,2026-01-15T05:34:33,AGENT,1,CLOSED,URGENT,Felipe Nunes,,0
TKT-302744,ACCT-02289,Comércio Souza do Brasil,MID,STARTER,EMAIL,Pedido de nota fiscal de janeiro,Preciso da NF-e referente à competência 01/2026 pro fechamento contábil.,2026-01-01T11:27:57,2026-01-03T13:53:14,AGENT,3,RESOLVED,MEDIUM,Diego Cruz,,0
TKT-301032,ACCT-02356,Serviços Rodrigues S.A.,SMB,STARTER,EMAIL,Como integro com nosso ERP?,Usamos um ERP próprio. Vocês têm SDK ou só REST?,2026-01-01T12:12:06,2026-01-03T19:41:22,AGENT,3,IN_PROGRESS,MEDIUM,Bruno Lima,,0
TKT-306264,ACCT-02281,Alimentos Carvalho,SMB,STARTER,WHATSAPP,Convite pra evento,"Vamos sediar um meetup em SP, queriam falar de SaaS B2B?",2026-01-01T12:18:46,2026-01-13T19:00:23,CUSTOMER,3,CLOSED,MEDIUM,Carla Mendes,OTHER,0
TKT-306714,ACCT-02129,Distribuidora Andrade S.A.,MID,GROWTH,EMAIL,Falta filtro por tag no listão,Conseguiríamos filtrar registros pela tag custom? Hoje só dá pra ordenar.,2026-01-01T12:32:42,2026-01-07T03:22:06,CUSTOMER,5,CLOSED,MEDIUM,Bruno Lima,,0
TKT-303223,ACCT-02608,Logística Fernandes,SMB,STARTER,CHAT,Tem como mudar a moeda padrão?,Trabalhamos com USD em alguns clientes.,2026-01-01T13:04:22,2026-01-06T00:24:48,AGENT,3,RESOLVED,MEDIUM,Giovana Reis,,0
TKT-301942,ACCT-02150,Alimentos Santos,SMB,GROWTH,CHAT,Indicação de cliente,Tem programa de referral? Posso indicar 2 empresas amigas.,2026-01-01T13:16:38,2026-01-14T09:08:30,AGENT,6,IN_PROGRESS,LOW,Giovana Reis,,0
TKT-307480,ACCT-02185,Varejo Almeida,MID,GROWTH,EMAIL,Indicação de cliente,Tem programa de referral? Posso indicar 2 empresas amigas.,2026-01-01T13:40:58,2026-01-04T04:16:09,AGENT,4,RESOLVED,HIGH,Ana Souza,,0
TKT-304786,ACCT-02562,Serviços Rodrigues do Brasil,SMB,FREE,EMAIL,Cobrança duplicada na fatura de fevereiro,Aparece duas vezes a mensalidade do plano no extrato — preciso de estorno.,2026-01-01T14:03:46,2026-01-04T20:11:28,AGENT,6,RESOLVED,HIGH,Bruno Lima,,0
TKT-305786,ACCT-02102,Comércio Rodrigues,SMB,FREE,WHATSAPP,Reembolso e encerramento,Decidimos sair. Como funciona o reembolso proporcional do contrato anual?,2026-01-01T14:06:05,2026-01-02T01:18:01,CUSTOMER,3,CLOSED,MEDIUM,Bruno Lima,,0
TKT-301871,ACCT-02641,Distribuidora Rodrigues S.A.,SMB,STARTER,CHAT,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-01T14:24:55,2026-01-14T22:12:41,AGENT,2,CLOSED,HIGH,Ana Souza,,0
TKT-304171,ACCT-02036,Varejo Ribeiro do Brasil,SMB,STARTER,EMAIL,Erro 500 ao salvar relatório,Quando clico em 'Exportar' o sistema retorna 500. Tentei em três navegadores diferentes.,2026-01-01T15:45:15,2026-01-11T23:51:36,CUSTOMER,5,RESOLVED,URGENT,Ana Souza,BUG,0
TKT-307409,ACCT-02594,Indústria Costa do Brasil,MID,STARTER,EMAIL,Pode adicionar SSO via Google Workspace?,"Nosso time tem 30 pessoas, gerenciar senha individual é dor.",2026-01-01T15:59:22,2026-01-09T19:00:12,AGENT,4,CLOSED,MEDIUM,Erica Tavares,,0
TKT-300901,ACCT-02033,Distribuidora Carvalho Ltda,SMB,GROWTH,EMAIL,Cobrança duplicada na fatura de fevereiro,Aparece duas vezes a mensalidade do plano no extrato — preciso de estorno.,2026-01-01T15:59:32,2026-01-05T18:17:20,CUSTOMER,2,CLOSED,HIGH,Bruno Lima,BILLING,0
TKT-301894,ACCT-02159,Serviços Pereira Ltda,SMB,GROWTH,EMAIL,Onde vejo o histórico de alterações?,Quero ver quem mudou o status daquele registro semana passada.,2026-01-01T16:46:26,,,0,NEW,HIGH,,HOW_TO,0
TKT-306898,ACCT-02566,Logística Lima S.A.,SMB,GROWTH,CHAT,Onde vejo o histórico de alterações?,Quero ver quem mudou o status daquele registro semana passada.,2026-01-01T17:04:38,2026-01-13T22:57:05,AGENT,3,RESOLVED,HIGH,Carla Mendes,,0
TKT-307772,ACCT-02109,Atacadista Souza do Brasil,SMB,STARTER,EMAIL,Indicação de cliente,Tem programa de referral? Posso indicar 2 empresas amigas.,2026-01-01T17:24:27,2026-01-13T16:03:11,AGENT,4,CLOSED,LOW,Bruno Lima,,0
TKT-307168,ACCT-02546,Soluções Rodrigues,ENT,GROWTH,EMAIL,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-01T17:29:12,2026-01-15T06:11:32,CUSTOMER,4,CLOSED,MEDIUM,Ana Souza,,0
TKT-300348,ACCT-02629,Logística Andrade ME,SMB,STARTER,EMAIL,Pix não foi reconhecido,Pago o boleto via Pix ontem mas a plataforma ainda mostra como em aberto. Comprovante anexo.,2026-01-01T17:31:20,2026-01-11T12:55:58,CUSTOMER,2,IN_PROGRESS,MEDIUM,Bruno Lima,,0
TKT-305693,ACCT-02174,Alimentos Ribeiro Ltda,SMB,FREE,WHATSAPP,Pedido de nota fiscal de janeiro,Preciso da NF-e referente à competência 01/2026 pro fechamento contábil.,2026-01-01T18:04:33,2026-01-14T16:09:06,CUSTOMER,1,RESOLVED,LOW,Ana Souza,,0
TKT-302096,ACCT-02610,Distribuidora Souza ME,MID,GROWTH,CHAT,Feedback geral sobre o produto,"Só queria mandar um obrigado, time. UX melhorou bastante esse ano.",2026-01-01T18:50:27,2026-01-08T11:41:38,CUSTOMER,6,WAITING_CUSTOMER,MEDIUM,Carla Mendes,,0
TKT-301662,ACCT-02047,Tecnologia Fernandes Ltda,SMB,STARTER,EMAIL,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-01T18:59:12,2026-01-04T22:36:29,AGENT,2,CLOSED,URGENT,Bruno Lima,BILLING,0
TKT-300890,ACCT-02277,Têxtil Oliveira ME,SMB,STARTER,EMAIL,Cobrança duplicada na fatura de fevereiro,Aparece duas vezes a mensalidade do plano no extrato — preciso de estorno.,2026-01-01T19:02:29,2026-01-05T16:28:37,AGENT,5,RESOLVED,MEDIUM,Carla Mendes,,0
TKT-305229,ACCT-02044,Indústria Carvalho Ltda,MID,ENTERPRISE,EMAIL,Feedback geral sobre o produto,"Só queria mandar um obrigado, time. UX melhorou bastante esse ano.",2026-01-01T19:11:37,2026-01-08T13:04:11,CUSTOMER,6,RESOLVED,LOW,Giovana Reis,,0
TKT-303298,ACCT-02546,Soluções Rodrigues,ENT,GROWTH,EMAIL,Parceria comercial,Trabalhamos com um produto complementar — quem fala sobre integração de marketing?,2026-01-01T19:19:35,2026-01-14T00:53:36,AGENT,5,CLOSED,MEDIUM,Isadora Pinto,OTHER,0
TKT-302898,ACCT-02687,Serviços Rodrigues Ltda,SMB,GROWTH,EMAIL,API: endpoint pra listar webhooks,"Hoje só dá pra criar/deletar via UI, não tem GET na API.",2026-01-01T19:32:48,2026-01-12T08:18:36,CUSTOMER,2,CLOSED,LOW,Bruno Lima,,0
TKT-304967,ACCT-02491,Indústria Costa S.A.,ENT,ENTERPRISE,EMAIL,Indicação de cliente,Tem programa de referral? Posso indicar 2 empresas amigas.,2026-01-01T19:45:32,2026-01-06T17:06:20,CUSTOMER,1,IN_PROGRESS,MEDIUM,Ana Souza,OTHER,0
TKT-300327,ACCT-02245,Alimentos Ferreira ME,MID,GROWTH,WHATSAPP,Tem como mudar a moeda padrão?,Trabalhamos com USD em alguns clientes.,2026-01-01T19:49:12,2026-01-14T13:31:45,AGENT,3,RESOLVED,MEDIUM,Bruno Lima,,0
TKT-307016,ACCT-02646,Serviços Ribeiro ME,MID,STARTER,EMAIL,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-01T20:00:42,2026-01-06T07:19:58,AGENT,6,RESOLVED,MEDIUM,João Vargas,,0
TKT-306734,ACCT-02155,Têxtil Lima ME,SMB,GROWTH,CHAT,Sugestão de campo customizado no perfil,Precisamos guardar o CNPJ secundário do cliente em algum lugar.,2026-01-01T20:12:31,2026-01-10T16:24:13,CUSTOMER,7,RESOLVED,LOW,Giovana Reis,FEATURE_REQUEST,0
TKT-301154,ACCT-02511,Serviços Santos,SMB,FREE,CHAT,Churn — pedindo sair antes do fim do contrato,Estamos pensando em sair antes do vencimento. Tem multa?,2026-01-01T20:14:19,2026-01-06T00:47:24,AGENT,2,CLOSED,MEDIUM,Carla Mendes,,0
TKT-303974,ACCT-02140,Transportes Santos S.A.,MID,STARTER,EMAIL,Upload de CSV trava em 99%,Tento subir um arquivo de 2MB e ele fica preso em 99% e nunca finaliza.,2026-01-01T20:33:44,2026-01-11T23:41:05,AGENT,5,RESOLVED,URGENT,Diego Cruz,,0
TKT-300690,ACCT-02586,Varejo Andrade do Brasil,SMB,FREE,EMAIL,Onde vejo o histórico de alterações?,Quero ver quem mudou o status daquele registro semana passada.,2026-01-01T21:02:47,2026-01-06T11:42:09,CUSTOMER,4,RESOLVED,MEDIUM,Ana Souza,,0
TKT-302043,ACCT-02643,Alimentos Lima,ENT,GROWTH,EMAIL,Pode adicionar SSO via Google Workspace?,"Nosso time tem 30 pessoas, gerenciar senha individual é dor.",2026-01-01T21:04:04,2026-01-04T07:39:15,AGENT,5,CLOSED,MEDIUM,Karina Melo,,0
TKT-305748,ACCT-02014,Engenharia Costa Ltda,MID,STARTER,EMAIL,Bug no filtro de data,"Quando seleciono o último trimestre, ele puxa dados de 2024 também.",2026-01-01T21:06:48,2026-01-10T21:05:40,AGENT,4,RESOLVED,MEDIUM,Erica Tavares,,0
TKT-306237,ACCT-02019,Distribuidora Ribeiro do Brasil,SMB,STARTER,PHONE_CALLBACK,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-01T21:37:34,2026-01-11T17:57:29,AGENT,2,CLOSED,HIGH,João Vargas,,0
TKT-305215,ACCT-02394,Atacadista Oliveira ME,SMB,GROWTH,EMAIL,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-01T21:56:59,2026-01-07T10:27:55,AGENT,3,IN_PROGRESS,HIGH,João Vargas,,0
TKT-306818,ACCT-02644,Soluções Costa ME,SMB,GROWTH,EMAIL,Como exporto os dados do mês?,Preciso passar pra contabilidade — qual menu é?,2026-01-01T21:58:10,2026-01-06T21:37:20,CUSTOMER,2,CLOSED,LOW,Giovana Reis,HOW_TO,0
TKT-306627,ACCT-02647,Serviços Souza,SMB,STARTER,CHAT,Convite pra evento,"Vamos sediar um meetup em SP, queriam falar de SaaS B2B?",2026-01-01T22:23:18,2026-01-04T23:27:18,CUSTOMER,1,RESOLVED,LOW,Carla Mendes,,0
TKT-305367,ACCT-02266,Alimentos Oliveira Ltda,SMB,FREE,CHAT,Cobrança duplicada na fatura de fevereiro,Aparece duas vezes a mensalidade do plano no extrato — preciso de estorno.,2026-01-01T22:52:27,2026-01-14T20:40:29,AGENT,1,CLOSED,HIGH,Carla Mendes,,0
TKT-307011,ACCT-02072,Construtora Oliveira S.A.,MID,ENTERPRISE,EMAIL,Tem como mudar a moeda padrão?,Trabalhamos com USD em alguns clientes.,2026-01-01T23:24:48,2026-01-06T20:36:14,CUSTOMER,2,WAITING_CUSTOMER,MEDIUM,Carla Mendes,HOW_TO,0
TKT-300764,ACCT-02220,Distribuidora Carvalho do Brasil,MID,STARTER,EMAIL,Como adiciono um novo usuário?,Sou admin e não acho onde convidar mais alguém.,2026-01-01T23:57:43,2026-01-11T22:25:02,CUSTOMER,2,CLOSED,LOW,Felipe Nunes,,0
TKT-302907,ACCT-02556,Farma Fernandes ME,MID,ENTERPRISE,EMAIL,Como exporto os dados do mês?,Preciso passar pra contabilidade — qual menu é?,2026-01-02T00:00:30,2026-01-10T07:09:14,AGENT,5,RESOLVED,LOW,Bruno Lima,,0
TKT-303141,ACCT-02047,Tecnologia Fernandes Ltda,SMB,STARTER,WHATSAPP,Como mudo o método de pagamento?,Quero trocar de boleto pra cartão — onde faço isso no painel?,2026-01-02T00:08:08,2026-01-10T20:40:44,AGENT,5,RESOLVED,URGENT,Ana Souza,BILLING,0
TKT-301094,ACCT-02142,Distribuidora Andrade,SMB,FREE,EMAIL,Webhook deixou de disparar,Nossa integração não recebe nenhum evento desde sexta. Os logs mostram zero requisições.,2026-01-02T00:25:42,2026-01-10T12:03:52,CUSTOMER,6,CLOSED,HIGH,Bruno Lima,,0
TKT-302311,ACCT-02215,Serviços Costa do Brasil,SMB,FREE,EMAIL,Dúvida sobre upgrade de plano,"Se eu mudar pra GROWTH agora, a cobrança é proporcional ou já vem cheia?",2026-01-02T00:40:31,2026-01-08T18:27:11,CUSTOMER,6,WAITING_CUSTOMER,LOW,Bruno Lima,BILLING,0
TKT-305985,ACCT-02233,Construtora Oliveira Ltda,MID,STARTER,EMAIL,Parceria comercial,Trabalhamos com um produto complementar — quem fala sobre integração de marketing?,2026-01-02T00:55:09,2026-01-12T12:08:24,AGENT,2,CLOSED,MEDIUM,Felipe Nunes,,0
TKT-303649,ACCT-02347,Comércio Costa Ltda,MID,GROWTH,CHAT,Onde vejo o histórico de alterações?,Quero ver quem mudou o status daquele registro semana passada.,2026-01-02T01:09:27,2026-01-11T22:44:06,AGENT,7,IN_PROGRESS,MEDIUM,Ana Souza,HOW_TO,0
TKT-303229,ACCT-02602,Logística Santos do Brasil,SMB,GROWTH,PHONE_CALLBACK,Reembolso e encerramento,Decidimos sair. Como funciona o reembolso proporcional do contrato anual?,2026-01-02T01:14:36,2026-01-04T11:51:50,AGENT,7,CLOSED,MEDIUM,Bruno Lima,,0
TKT-301462,ACCT-02553,Varejo Rodrigues,MID,STARTER,CHAT,Sugestão de campo customizado no perfil,Precisamos guardar o CNPJ secundário do cliente em algum lugar.,2026-01-02T01:15:47,2026-01-13T10:30:42,CUSTOMER,3,WAITING_CUSTOMER,LOW,João Vargas,,0
TKT-302670,ACCT-02447,Engenharia Andrade Ltda,MID,STARTER,EMAIL,Bug no filtro de data,"Quando seleciono o último trimestre, ele puxa dados de 2024 também.",2026-01-02T02:00:02,2026-01-14T07:11:46,CUSTOMER,8,RESOLVED,URGENT,Ana Souza,BUG,0
TKT-301356,ACCT-02007,Atacadista Santos do Brasil,ENT,ENTERPRISE,EMAIL,Como exporto os dados do mês?,Preciso passar pra contabilidade — qual menu é?,2026-01-02T02:42:46,2026-01-05T03:10:12,AGENT,2,RESOLVED,MEDIUM,Bruno Lima,HOW_TO,0
TKT-306021,ACCT-02237,Indústria Almeida,SMB,FREE,EMAIL,Upload de CSV trava em 99%,Tento subir um arquivo de 2MB e ele fica preso em 99% e nunca finaliza.,2026-01-02T03:14:30,2026-01-04T18:25:08,AGENT,3,CLOSED,URGENT,Diego Cruz,BUG,0
